,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
50,2022-04-09,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
51,2022-04-09,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
52,2022-04-09,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
53,2022-04-09,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
54,2022-04-10,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
55,2022-04-10,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
56,2022-04-10,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
57,2022-04-10,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
58,2022-04-10,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
59,2022-04-10,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
60,2022-04-11,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
61,2022-04-11,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
62,2022-04-11,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
63,2022-04-11,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
64,2022-04-11,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
65,2022-04-11,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
66,2022-04-12,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
