,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
0,2022-10-01,Quillayute,700,3162.0,5.0,-3.0,56.0,4.4,10.0,27.78,308.0,321.9,308.8
1,2022-10-01,Quillayute,850,1550.0,14.0,1.0,41.0,4.86,70.0,16.668,300.8,315.7,301.7
2,2022-10-01,Vernon,700,3154.0,3.0,-5.0,56.0,3.78,355.0,18.52,305.8,317.7,306.5
3,2022-10-01,Vernon,850,1542.0,14.4,5.4,55.0,6.66,355.0,20.372,301.2,321.3,302.4
4,2022-10-01,Port Hardy,700,3155.0,4.2,-4.8,52.0,3.84,270.0,24.076,307.1,319.3,307.8
5,2022-10-01,Port Hardy,850,1544.0,12.0,-4.0,32.0,3.36,175.0,5.556,298.7,309.1,299.3
6,2022-10-02,Quillayute,700,3144.0,9.0,-22.0,9.0,0.94,70.0,11.112,312.4,315.7,312.6
7,2022-10-02,Quillayute,850,1525.0,16.0,2.0,39.0,5.23,350.0,7.408,302.9,319.0,303.9
8,2022-10-02,Vernon,700,3157.0,5.0,-4.0,52.0,4.08,180.0,9.26,308.0,320.9,308.8
9,2022-10-02,Vernon,850,1542.0,17.0,4.0,42.0,6.03,165.0,3.704,303.9,322.4,305.1
10,2022-10-02,Port Hardy,700,3148.0,5.6,-4.4,49.0,3.96,270.0,25.928,308.6,321.3,309.4
11,2022-10-02,Port Hardy,850,1529.0,14.6,3.6,48.0,5.86,280.0,5.556,301.4,319.2,302.5
12,2022-10-03,Quillayute,700,3151.0,6.2,-15.8,19.0,1.6,280.0,3.704,309.3,314.7,309.6
13,2022-10-03,Quillayute,850,1532.0,16.0,3.0,42.0,5.62,40.0,3.704,302.9,320.1,303.9
14,2022-10-03,Vernon,700,3156.0,5.2,-6.8,42.0,3.3,15.0,20.372,308.2,318.8,308.8
15,2022-10-03,Vernon,850,1515.0,17.6,4.6,42.0,6.29,330.0,14.816,304.6,323.9,305.7
16,2022-10-03,Port Hardy,700,3180.0,5.2,-2.8,56.0,4.47,280.0,11.112,308.2,322.3,309.0
17,2022-10-03,Port Hardy,850,1547.0,15.8,6.8,55.0,7.34,285.0,5.556,302.7,324.9,304.0
18,2022-10-04,Quillayute,700,3161.0,5.4,-18.6,16.0,1.27,150.0,14.816,308.4,312.7,308.7
19,2022-10-04,Quillayute,850,1546.0,15.4,2.4,42.0,5.38,185.0,9.26,302.3,318.7,303.2
20,2022-10-04,Vernon,700,3172.0,4.2,-4.8,52.0,3.84,235.0,9.26,307.1,319.3,307.8
21,2022-10-04,Vernon,850,1541.0,18.4,2.4,34.0,5.38,60.0,5.556,305.4,322.1,306.4
22,2022-10-04,Port Hardy,700,3168.0,4.6,-7.4,41.0,3.15,165.0,20.372,307.6,317.7,308.1
23,2022-10-04,Port Hardy,850,1524.0,16.1,6.1,52.0,6.96,170.0,18.52,302.9,324.0,304.1
24,2022-10-05,Quillayute,700,3130.0,4.2,-16.8,20.0,1.47,205.0,51.856,307.1,312.0,307.4
25,2022-10-05,Quillayute,850,1521.0,14.0,-2.0,33.0,3.9,205.0,35.188,300.8,312.9,301.5
26,2022-10-05,Vernon,700,3136.0,4.0,-8.0,41.0,3.0,200.0,22.224,306.9,316.5,307.4
27,2022-10-05,Vernon,850,1522.0,17.4,2.4,37.0,5.38,185.0,16.668,304.4,321.0,305.4
28,2022-10-05,Port Hardy,700,3074.0,1.6,-6.4,55.0,3.4,195.0,48.152,304.2,314.9,304.9
29,2022-10-05,Port Hardy,850,1488.0,11.2,6.9,75.0,7.39,175.0,18.52,297.9,319.8,299.2
30,2022-10-06,Quillayute,700,3172.0,4.2,-5.8,48.0,3.56,220.0,29.632,307.1,318.4,307.8
31,2022-10-06,Quillayute,850,1564.0,14.0,1.0,41.0,4.86,85.0,7.408,300.8,315.7,301.7
32,2022-10-06,Vernon,700,3217.0,2.0,-5.0,60.0,3.78,260.0,25.928,304.7,316.6,305.4
33,2022-10-06,Vernon,850,1589.0,15.8,1.8,39.0,5.15,355.0,16.668,302.7,318.5,303.6
34,2022-10-06,Port Hardy,700,3159.0,2.4,-7.6,48.0,3.1,220.0,3.704,305.1,315.0,305.7
35,2022-10-06,Port Hardy,850,1561.0,9.6,5.9,78.0,6.89,150.0,12.964,296.2,316.5,297.4
36,2022-10-07,Quillayute,700,3187.0,6.6,-14.4,21.0,1.8,200.0,33.336,309.8,315.8,310.1
37,2022-10-07,Quillayute,850,1567.0,16.2,4.2,45.0,6.12,160.0,22.224,303.1,321.8,304.2
38,2022-10-07,Vernon,700,3216.0,3.4,-8.6,41.0,2.87,75.0,5.556,306.2,315.4,306.8
39,2022-10-07,Vernon,850,1594.0,15.4,1.4,39.0,5.01,0.0,12.964,302.3,317.6,303.2
40,2022-10-07,Port Hardy,700,3160.0,4.6,-9.4,35.0,2.69,150.0,20.372,307.6,316.3,308.1
41,2022-10-07,Port Hardy,850,1563.0,13.2,5.2,58.0,6.56,120.0,7.408,300.0,319.7,301.1
42,2022-10-08,Quillayute,700,3199.0,7.6,-24.4,8.0,0.76,0.0,14.816,310.9,313.6,311.0
43,2022-10-08,Quillayute,850,1579.0,16.0,1.0,36.0,4.86,0.0,5.556,302.9,317.9,303.8
44,2022-10-08,Vernon,700,3193.0,4.0,-11.0,33.0,2.37,290.0,12.964,306.9,314.6,307.3
45,2022-10-08,Vernon,850,1595.0,16.2,3.2,42.0,5.7,225.0,14.816,303.1,320.6,304.1
46,2022-10-08,Port Hardy,700,3191.0,5.8,-15.2,20.0,1.68,275.0,12.964,308.9,314.5,309.2
47,2022-10-08,Port Hardy,850,1579.0,14.4,4.4,51.0,6.2,80.0,1.852,301.2,320.0,302.4
48,2022-10-09,Quillayute,700,3193.0,7.6,-15.4,18.0,1.66,340.0,16.668,310.9,316.5,311.2
49,2022-10-09,Quillayute,850,1570.0,16.2,0.2,34.0,4.59,10.0,7.408,303.1,317.3,303.9
50,2022-10-09,Vernon,700,3184.0,4.6,-14.4,24.0,1.8,340.0,20.372,307.6,313.5,307.9
51,2022-10-09,Vernon,850,1576.0,15.4,2.4,42.0,5.38,335.0,14.816,302.3,318.7,303.2
52,2022-10-09,Port Hardy,700,3182.0,6.6,-15.4,19.0,1.66,350.0,37.04,309.8,315.3,310.1
53,2022-10-09,Port Hardy,850,1564.0,16.0,-17.0,9.0,1.19,5.0,27.78,302.9,306.9,303.1
54,2022-10-10,Quillayute,700,3191.0,8.2,-16.8,15.0,1.47,20.0,24.076,311.5,316.6,311.8
55,2022-10-10,Quillayute,850,1566.0,16.6,-10.4,15.0,2.05,350.0,5.556,303.5,310.2,303.9
56,2022-10-10,Vernon,700,3179.0,6.4,-13.6,22.0,1.92,340.0,24.076,309.5,315.9,309.9
57,2022-10-10,Vernon,850,1581.0,14.6,1.6,41.0,5.08,345.0,16.668,301.4,317.0,302.4
58,2022-10-10,Port Hardy,700,3180.0,5.6,-3.4,52.0,4.27,280.0,33.336,308.6,322.2,309.4
59,2022-10-10,Port Hardy,850,1559.0,15.2,4.2,48.0,6.12,340.0,22.224,302.1,320.7,303.2
60,2022-10-11,Quillayute,700,3115.0,2.4,-8.6,44.0,2.87,310.0,61.116,305.1,314.3,305.6
61,2022-10-11,Quillayute,850,1519.0,10.4,-38.6,2.0,0.16,305.0,48.152,297.0,297.6,297.1
62,2022-10-11,Vernon,700,3042.0,-0.7,-3.5,81.0,4.24,270.0,50.004000000000005,301.7,314.8,302.4
63,2022-10-11,Vernon,850,1433.0,13.0,4.0,54.0,6.03,310.0,33.336,299.8,317.9,300.8
64,2022-10-11,Port Hardy,700,3083.0,-0.1,-14.1,34.0,1.84,330.0,72.22800000000001,302.3,308.3,302.7
65,2022-10-11,Port Hardy,850,1507.0,7.6,-30.4,5.0,0.36,325.0,37.04,294.1,295.3,294.2
66,2022-10-12,Quillayute,700,3181.0,4.4,-4.6,52.0,3.9,320.0,50.004000000000005,307.3,319.7,308.1
67,2022-10-12,Quillayute,850,15.2,-1.8,31.0,3.64,60.0,2.0,545.9696,305.9,295.5,912.0
68,2022-10-12,Vernon,700,3107.0,0.4,-3.6,75.0,4.21,330.0,70.376,302.9,315.9,303.7
69,2022-10-12,Vernon,850,1521.0,9.4,-1.6,46.0,4.02,300.0,14.816,296.0,308.1,296.7
70,2022-10-12,Port Hardy,700,3138.0,4.2,-10.8,33.0,2.41,305.0,57.412000000000006,307.1,314.9,307.6
71,2022-10-12,Port Hardy,850,8.6,1.6,61.0,4.67,330.0,14.0,533.5612000000001,301.6,288.9,917.9
72,2022-10-13,Quillayute,700,3212.0,8.4,-16.6,15.0,1.5,70.0,5.556,311.8,316.9,312.0
73,2022-10-13,Quillayute,850,1581.0,18.2,-11.8,12.0,1.83,75.0,22.224,305.2,311.2,305.5
74,2022-10-13,Vernon,700,3203.0,3.6,-8.4,41.0,2.91,345.0,53.708000000000006,306.4,315.8,307.0
75,2022-10-13,Vernon,850,1599.0,9.8,-0.2,50.0,4.46,320.0,7.408,296.4,309.8,297.2
76,2022-10-13,Port Hardy,700,3218.0,6.6,-14.4,21.0,1.8,275.0,20.372,309.8,315.8,310.1
77,2022-10-13,Port Hardy,850,1585.0,16.8,2.8,39.0,5.54,60.0,20.372,303.7,320.8,304.8
78,2022-10-14,Quillayute,700,3196.0,6.8,-12.2,24.0,2.15,315.0,16.668,310.0,317.1,310.4
79,2022-10-14,Quillayute,850,1569.0,17.4,-9.6,15.0,2.18,130.0,1.852,304.4,311.4,304.8
80,2022-10-14,Vernon,700,3195.0,5.6,-13.4,24.0,1.95,320.0,25.928,308.6,315.1,309.0
