,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
0,2022-10-01,Quillayute,700,3162.0,5.0,-3.0,56.0,4.4,10,27.78,308.0,321.9,308.8
1,2022-10-01,Quillayute,850,1550.0,14.0,1.0,41.0,4.86,70,16.668,300.8,315.7,301.7
2,2022-10-01,Vernon,700,3154.0,3.0,-5.0,56.0,3.78,355,18.52,305.8,317.7,306.5
3,2022-10-01,Vernon,850,1542.0,14.4,5.4,55.0,6.66,355,20.372,301.2,321.3,302.4
4,2022-10-01,Port Hardy,700,3155.0,4.2,-4.8,52.0,3.84,270,24.076,307.1,319.3,307.8
5,2022-10-01,Port Hardy,850,1544.0,12.0,-4.0,32.0,3.36,175,5.556,298.7,309.1,299.3
6,2022-10-02,Quillayute,700,3144.0,9.0,-22.0,9.0,0.94,70,11.112,312.4,315.7,312.6
7,2022-10-02,Quillayute,850,1525.0,16.0,2.0,39.0,5.23,350,7.408,302.9,319.0,303.9
8,2022-10-02,Vernon,700,3157.0,5.0,-4.0,52.0,4.08,180,9.26,308.0,320.9,308.8
9,2022-10-02,Vernon,850,1542.0,17.0,4.0,42.0,6.03,165,3.704,303.9,322.4,305.1
10,2022-10-02,Port Hardy,700,3148.0,5.6,-4.4,49.0,3.96,270,25.928,308.6,321.3,309.4
11,2022-10-02,Port Hardy,850,1529.0,14.6,3.6,48.0,5.86,280,5.556,301.4,319.2,302.5
12,2022-10-03,Quillayute,700,3151.0,6.2,-15.8,19.0,1.6,280,3.704,309.3,314.7,309.6
13,2022-10-03,Quillayute,850,1532.0,16.0,3.0,42.0,5.62,40,3.704,302.9,320.1,303.9
14,2022-10-03,Vernon,700,3156.0,5.2,-6.8,42.0,3.3,15,20.372,308.2,318.8,308.8
15,2022-10-03,Vernon,850,1515.0,17.6,4.6,42.0,6.29,330,14.816,304.6,323.9,305.7
16,2022-10-03,Port Hardy,700,3180.0,5.2,-2.8,56.0,4.47,280,11.112,308.2,322.3,309.0
